industry,symbol,price,price_1yr_ago,high52,pe,mc
PHARMA,NSE:INDOCO,158,224.15,238.9,136.38,1455.97553
ENERGY,NSE:IGL,333.3,264.85,350.8,25.92,23313.62931
FINANCIAL SERVICES,NSE:INDUSINDBK,1335,1826.5,1889.3,23.04,92429.23204
IT,NSE:INFIBEAM,39.35,225,242.7,18.6,2592.838908
IT,NSE:NAUKRI,2059,1623.1,2443.9,41.9,25162.60661
IT,NSE:INFY,830,734.3,847,23.11,5093.843501
MEDIA & ENTERTAINMENT,NSE:INOXLEISUR,278.85,229.85,383.4,21.36,2871.918334
INDUSTRIAL MANUFACTURING,NSE:INOXWIND,33.8,95.15,106.5,#N/A,748.9990299
IT,NSE:INTELLECT,213.7,251.3,291.8,30.58,2820.106969
SERVICES,NSE:INDIGO,1670,892.35,1716,48.24,64473.37255
PHARMA,NSE:IPCALAB,933,765.55,1046,23.3,11785.49739
PHARMA,NSE:JBCHEPHARM,383.05,343,407,#N/A,3074.685317
CEMENT & CEMENT PRODUCTS,NSE:JKCEMENT,998.5,800.65,1085.05,27.18,7715.233764
CEMENT & CEMENT PRODUCTS,NSE:JKLAKSHMI,323.4,326,395.95,74.25,3805.447728
PAPER,NSE:JKPAPER,118.85,178.7,189.4,4.87,2110.261035
AUTOMOBILE,NSE:JKTYRE,62.1,120.15,123.4,11.01,1527.858348
FINANCIAL SERVICES,NSE:JMFINANCIL,72.55,112.9,119,10.96,6100.936524
ENERGY,NSE:JSWENERGY,66.05,66.2,77.25,15.24,10843.48668
METALS,NSE:JSWSTEEL,219.35,395.2,427.55,8.41,52757.2488
MEDIA & ENTERTAINMENT,NSE:JAGRAN,69.5,118.9,128.95,8.62,2060.061315
INDUSTRIAL MANUFACTURING,NSE:JAICORPLTD,79.2,154.65,162.5,#N/A,1418.700965
INDUSTRIAL MANUFACTURING,NSE:JISLJALEQS,19.8,82.95,88.45,5.69,1009.01012
CEMENT & CEMENT PRODUCTS,NSE:JPASSOCIAT,2.35,10.1,11.35,#N/A,576.6633177
FINANCIAL SERVICES,NSE:J&KBANK,39.35,55,65.75,4.73,2191.237719
AUTOMOBILE,NSE:JAMNAAUTO,36.9,76.2,84.35,12.48,1470.331852
SERVICES,NSE:JETAIRWAYS,38.1,269.8,366.95,#N/A,439.014292
METALS,NSE:JINDALSAW,71.9,88.85,101.9,2.59,2299.031309
METALS,NSE:JSLHISAR,66,139.1,160.5,4.49,1560.59608
METALS,NSE:JSL,34.4,63.85,72,35.38,1648.522377
METALS,NSE:JINDALSTEL,95.6,216.95,246.45,#N/A,9711.340135
CONSUMER GOODS,NSE:JUBLFOOD,1209,1353.3,1487.7,49.97,15927.21528
PHARMA,NSE:JUBILANT,491.5,769.15,898.85,13.85,7810.054068
IT,NSE:JUSTDIAL,744,517.95,824.8,24.09,4823.377822
CONSUMER GOODS,NSE:JYOTHYLAB,145.2,201,222.45,25.84,5352.13893
TEXTILES,NSE:KPRMILL,554,686.05,713,11.63,4062.663766
INDUSTRIAL MANUFACTURING,NSE:KEI,458.25,410.15,532.5,18.71,3626.660191
METALS,NSE:KIOCL,124.9,176.05,250.9,97.26,7767.84959
CONSTRUCTION,NSE:KNRCON,222.25,206.05,303.35,11.55,3149.811488
CONSUMER GOODS,NSE:KRBL,224.05,376.35,397.9,9.78,5282.530512
CONSTRUCTION,NSE:KAJARIACER,493.3,422.05,649.65,33.83,7878.358574
ENERGY,NSE:KALPATPOWR,450.8,332.6,554.5,14.82,6914.1182
CONSUMER GOODS,NSE:KANSAINER,455,481.95,499.5,54.16,24435.1426
FINANCIAL SERVICES,NSE:KTKBANK,76.5,113.45,141.25,4.94,2173.234895
FINANCIAL SERVICES,NSE:KARURVYSYA,58.85,89,95,19.75,4732.08792
CONSUMER GOODS,NSE:KSCL,492,621.2,651.3,12.84,3108.804024
CONSTRUCTION,NSE:KEC,244.95,288.4,340.95,12.65,6297.37783
INDUSTRIAL MANUFACTURING,NSE:KIRLOSENG,167,261.9,283,11.02,2415.05046
CONSTRUCTION,NSE:KOLTEPATIL,233,270.15,320.2,11.57,1761.17
FINANCIAL SERVICES,NSE:KOTAKBANK,1470.55,1206.4,1555.9,37.14,281467.3236
FINANCIAL SERVICES,NSE:L&TFH,92.75,157,167,8.31,18594.57632
IT,NSE:LTTS,1629.5,1682.9,1820,22.23,17000.2686
FINANCIAL SERVICES,NSE:LICHSGFIN,398.3,472.75,587,8.13,20146.14925
INDUSTRIAL MANUFACTURING,NSE:LAXMIMACH,3659,7032.5,7250,21.45,3873.294639
FINANCIAL SERVICES,NSE:LAKSHVILAS,35.3,94.35,97.4,#N/A,1183.603546
IT,NSE:LTI,1674,1889.15,1987,19.4,29105.32876
CONSTRUCTION,NSE:LT,1360.5,1329.65,1607,20.88,190508.0054
PHARMA,NSE:LAURUSLABS,352,430.95,446.8,40.65,3746.57184
SERVICES,NSE:LEMONTREE,52.85,73.4,89.3,78.93,4179.308018
CHEMICALS,NSE:LINDEINDIA,502,420.7,819,166.64,4281.267844
PHARMA,NSE:LUPIN,765.5,940.3,986.1,49.02,34646.80558
TEXTILES,NSE:LUXIND,1153.35,1722.65,1939.7,29.11,2882.395577
FINANCIAL SERVICES,NSE:MASFIN,610.3,582.2,677.9,20.35,3336.023624
SERVICES,NSE:MMTC,20.7,31.85,35.75,25.44,3097.444614
METALS,NSE:MOIL,123.7,184.25,199.8,6.66,3184.050371
AUTOMOBILE,NSE:MRF,59100,69769.55,71550.05,22.06,25053.8898
FINANCIAL SERVICES,NSE:MAGMA,58.95,140.2,144.6,6.46,1587.891627
ENERGY,NSE:MGL,851.3,832.6,1067.25,14.29,8427.764892
AUTOMOBILE,NSE:MAHSCOOTER,4023.85,2922.95,4786,63.47,4598.681227
METALS,NSE:MAHSEAMLES,376,473,531.5,10.76,2519.185712
FINANCIAL SERVICES,NSE:M&MFIN,324,439.2,484,10.92,19922.87016
AUTOMOBILE,NSE:M&M,534,943.15,976.7,10.97,63497.9199
INDUSTRIAL MANUFACTURING,NSE:MAHINDCIE,158,282.65,302,11.83,6006.699043
SERVICES,NSE:MHRIL,213,247.95,257.45,46.88,2857.805971
SERVICES,NSE:MAHLOG,341.5,551.7,594.95,30.48,2439.938272
FINANCIAL SERVICES,NSE:MANAPPURAM,123.75,87.9,144.95,10.51,10435.36725
ENERGY,NSE:MRPL,46,74.2,87.25,#N/A,8096.796282
CONSUMER GOODS,NSE:MARICO,386.45,336.95,401.75,42.74,49846.64127
AUTOMOBILE,NSE:MARUTI,6355.05,8517.05,8750,27.38,191356.3789
FINANCIAL SERVICES,NSE:MFSL,399,469.1,519.35,40.84,10755.50297
HEALTHCARE SERVICES,NSE:MAXINDIA,63,82.9,89.9,#N/A,1653.54565
IT,NSE:MINDTREE,680.3,1161.3,1183.8,16.25,11234.51577
AUTOMOBILE,NSE:MINDACORP,97.7,146.1,156.05,14.53,2176.745875
AUTOMOBILE,NSE:MINDAIND,325,396.1,415,31.22,8522.126065
AUTOMOBILE,NSE:MOTHERSUMI,99.4,194.1,204,20.89,31374.21525
FINANCIAL SERVICES,NSE:MOTILALOFS,585.5,764.05,855.9,26.61,8615.380735
IT,NSE:MPHASIS,993.5,1259.3,1265,17.62,18461.56615
FINANCIAL SERVICES,NSE:MUTHOOTFIN,609.75,436.95,656.4,11.77,24434.68248
PHARMA,NSE:NATCOPHARM,587,829.75,848.3,17.83,10599.24833
CONSTRUCTION,NSE:NBCC,37.7,67.25,71.1,20.06,6731.17125
CONSTRUCTION,NSE:NCC,58.45,88.5,119.2,6.38,3516.954081
SERVICES,NSE:NESCO,534.3,485.15,585,20.74,3764.675042
ENERGY,NSE:NHPC,24.3,24.9,27.5,#N/A,24208.52268
IT,NSE:NIITTECH,1444,1319.7,1545,22.22,9000.690855
ENERGY,NSE:NLCINDIA,55.65,71.1,85.4,5.48,7709.695948
METALS,NSE:NMDC,82.85,118.35,124.4,5.49,25382.72868
ENERGY,NSE:NTPC,126.3,141.46,146.17,9.89,124968.2832
HEALTHCARE SERVICES,NSE:NH,246,250.5,263.45,53.35,4935.713628
METALS,NSE:NATIONALUM,43.7,69.85,72.45,7.25,8152.746432
FERTILISERS & PESTICIDES,NSE:NFL,26.7,44.5,49.95,6.91,1307.372995
ENERGY,NSE:NBVENTURES,86.3,122.2,137.4,3.89,1485.300267
CHEMICALS,NSE:NAVINFLUOR,735.8,698,781.9,#N/A,3675.257287
MEDIA & ENTERTAINMENT,NSE:NETWORK18,23.05,55.3,57.25,#N/A,2434.576655
INDUSTRIAL MANUFACTURING,NSE:NILKAMAL,992.65,1790.2,1893.8,#N/A,1481.283984
CONSTRUCTION,NSE:OBEROIRLTY,515,455.15,641.7,28.38,18648.26167
ENERGY,NSE:ONGC,129.1,167.8,185.4,5.69,163042.054
ENERGY,NSE:OIL,154.05,202.75,227,5.39,16699.837
CONSTRUCTION,NSE:OMAXE,194.5,220.5,222.65,63.15,3567.4821
IT,NSE:OFSS,3045,4192.55,4658.4,19.23,26095.62396
CEMENT & CEMENT PRODUCTS,NSE:ORIENTCEM,87.5,109.85,124,20.5,1792.601125
CONSUMER GOODS,NSE:ORIENTELEC,154,159.9,173.7,43.18,3267.65516
FINANCIAL SERVICES,NSE:ORIENTBANK,65.05,75.4,118.95,8.61,9817.339956
CONSUMER GOODS,NSE:PCJEWELLER,32.65,84.1,163.5,#N/A,1295.608826
FERTILISERS & PESTICIDES,NSE:PIIND,1240,770.45,1254,39.82,17051.67073
FINANCIAL SERVICES,NSE:PNBHOUSING,639.8,1303.35,1315.9,8.84,10756.6117
CONSTRUCTION,NSE:PNCINFRA,178.5,143.65,219.4,11.1,4610.010946
ENERGY,NSE:PTC,62,81.35,94.1,4.53,1835.25146
MEDIA & ENTERTAINMENT,NSE:PVR,1562.6,1352.85,1829.95,49.78,7303.370397
TEXTILES,NSE:PAGEIND,18200,33517.8,34467.95,53.4,20269.01776
CONSUMER GOODS,NSE:PARAGMILK,147.85,289.15,297.55,10.35,1242.744604
IT,NSE:PERSISTENT,557.3,877.3,915,12.75,4179.446664
ENERGY,NSE:PETRONET,265.35,239.4,268.8,18.2,39802.50092
PHARMA,NSE:PFIZER,3185.4,3640.8,3788,32.38,14632.15191
CHEMICALS,NSE:PHILIPCARB,116,225.3,242.25,5.67,1999.208963
CONSTRUCTION,NSE:PHOENIXLTD,697.65,597.8,715,21.81,10698.01663
CHEMICALS,NSE:PIDILITIND,1375.05,1113.65,1400,71.36,70002.08578
PHARMA,NSE:PEL,1890,2922.3,3128,18.91,37342.28319
FINANCIAL SERVICES,NSE:PFC,109.85,81.2,138.75,2.92,29001.28938
ENERGY,NSE:POWERGRID,203.1,186.9,216.25,10.36,106253.6367
INDUSTRIAL MANUFACTURING,NSE:PRAJIND,105.85,96.25,167.9,26.22,1941.866944
CONSTRUCTION,NSE:PRESTIGE,298.6,220.8,313,27.37,11197.50321
CEMENT & CEMENT PRODUCTS,NSE:PRSMJOHNSN,89.1,104.05,109.3,38.53,4484.906338
PHARMA,NSE:PGHL,4199.9,2933.35,4248,7.72,6726.567
CONSUMER GOODS,NSE:PGHH,10198,10004.35,11245,78.97,33103.45245
FINANCIAL SERVICES,NSE:PNB,62.7,81.7,99.9,#N/A,28821.81992
SERVICES,NSE:QUESS,454.85,926.1,977.6,26.09,6645.498218
FINANCIAL SERVICES,NSE:RBLBANK,361.15,602.9,716.4,16.92,15482.11009
FINANCIAL SERVICES,NSE:RECLTD,150.65,111.65,169.55,5.18,29752.13846
CONSTRUCTION,NSE:RITES,229.1,208.8,257.28,11.92,5800.039152
CONSUMER GOODS,NSE:RADICO,300,440.85,474.4,20.45,4005.59288
CHEMICALS,NSE:RAIN,105.95,186.4,202,15.47,3525.011909
CONSUMER GOODS,NSE:RAJESHEXPO,674.4,685.65,784.8,16.66,19912.33512
FERTILISERS & PESTICIDES,NSE:RALLIS,167.8,199.2,210.85,19.38,3258.662733
INDUSTRIAL MANUFACTURING,NSE:RKFORGE,300.75,620.75,719,9.27,976.1051428
FERTILISERS & PESTICIDES,NSE:RCF,42.3,68,79.6,19.67,2325.328074
TEXTILES,NSE:RAYMOND,560.55,779.1,885,22.48,3440.702911
SERVICES,NSE:REDINGTON,110,111,115.5,8.17,4289.6524
CONSUMER GOODS,NSE:RELAXO,489.5,415.65,514,68.43,12149.57103
FINANCIAL SERVICES,NSE:RELCAPITAL,35.7,439.75,471.05,0.69,904.0184916
TELECOM,NSE:RCOM,0.75,16.15,18.65,#N/A,205.81905
FINANCIAL SERVICES,NSE:RHFL,5.65,67.95,76.7,3.93,273.591601
ENERGY,NSE:RELIANCE,1221.7,1237.7,1417.5,17.99,774704.2064
ENERGY,NSE:RELINFRA,38.1,457.2,485.3,#N/A,1016.064479
FINANCIAL SERVICES,NSE:RNAM,284.95,219.7,289,34.82,17479.76008
ENERGY,NSE:RPOWER,3.35,35.2,37.45,#N/A,933.9695884
FINANCIAL SERVICES,NSE:REPCOHOME,315.35,539.8,547.5,7.85,1966.876032
TEXTILES,NSE:RUPA,186.5,366.15,386.9,20.02,1483.133417
CONSUMER GOODS,NSE:SHK,130.85,222.25,235.5,21.11,1842.11451
FINANCIAL SERVICES,NSE:SBILIFE,807.95,676.6,862.45,60.08,80843.16226
ENERGY,NSE:SJVN,25.25,28.45,30.5,6.64,9922.72985
INDUSTRIAL MANUFACTURING,NSE:SKFINDIA,1895.9,1775.7,2165,26.21,9283.078347
FINANCIAL SERVICES,NSE:SREINFRA,12.4,50.6,52.8,1.6,625.2550509
TEXTILES,NSE:SRF,2789.15,1941.7,3086.1,23.97,16049.1454
CONSTRUCTION,NSE:SADBHAV,145.75,261.95,274.45,54.15,2499.752419
PHARMA,NSE:SANOFI,6300,6623.75,6774.95,37.32,14448.91797
INDUSTRIAL MANUFACTURING,NSE:SCHAEFFLER,4125,5411.8,5798,33.35,12895.05525
SERVICES,NSE:SIS,800,1062.6,1119.8,23.69,5865.4744
METALS,NSE:SHANKARA,441,1222.55,1365,50.26,1004.460273
FERTILISERS & PESTICIDES,NSE:SHARDACROP,299,380.2,419.2,16.37,2715.024361
CONSUMER GOODS,NSE:SFL,1249.95,1752.55,1848.8,43.58,6097.607098
PHARMA,NSE:SHILPAMED,276,504.45,548.9,24.11,2260.00757
SERVICES,NSE:SCI,32.9,52.85,55.7,#N/A,1537.271412
CONSUMER GOODS,NSE:SHOPERSTOP,393,614.95,649.35,53.21,3458.003856
CEMENT & CEMENT PRODUCTS,NSE:SHREECEM,18099.9,17036.1,22399.9,62.65,63055.02119
CONSUMER GOODS,NSE:RENUKA,7.6,11.5,18.35,6.5,1462.553822
FINANCIAL SERVICES,NSE:SHRIRAMCIT,1328,1933,2065,8.55,8770.608655
FINANCIAL SERVICES,NSE:SRTRANSFIN,1008.7,1186.65,1297,8.89,22885.65823
INDUSTRIAL MANUFACTURING,NSE:SIEMENS,1226.85,954.45,1367.05,41.7,43690.60587
INDUSTRIAL MANUFACTURING,NSE:SPTL,4.4,35.6,36.85,#N/A,278.2834706
CONSTRUCTION,NSE:SOBHA,524.75,424.75,586.9,14.86,4977.509567
CHEMICALS,NSE:SOLARINDS,1089,1128.2,1311,37.44,9923.239745
IT,NSE:SONATSOFTW,306,367.95,428.6,12.52,3179.01564
FINANCIAL SERVICES,NSE:SOUTHBANK,10.8,16.05,18.5,6.57,1954.499795
CEMENT & CEMENT PRODUCTS,NSE:STARCEMENT,95.05,104.35,140,13.64,3989.213566
FINANCIAL SERVICES,NSE:SBIN,277.9,282.6,373.8,26.13,248014.9065
METALS,NSE:SAIL,32.9,74.5,80.7,5.79,13589.87525
TELECOM,NSE:STRTECH,126.35,341.85,399.9,8.78,5111.493251
PHARMA,NSE:STAR,397.95,490.65,551.4,10.73,3563.658522
CHEMICALS,NSE:SUDARSCHEM,315.5,430.3,444.8,#N/A,2184.119422
PHARMA,NSE:SPARC,151.55,381.55,414,#N/A,3987.200017
PHARMA,NSE:SUNPHARMA,428.2,630.4,670.9,34.28,102931.8505
MEDIA & ENTERTAINMENT,NSE:SUNTV,439.2,666.7,702,12.34,17331.84023
AUTOMOBILE,NSE:SUNCLAYLTD,1914,3821.65,4450,9.12,3872.420112
FINANCIAL SERVICES,NSE:SUNDARMFIN,1535,1558.55,1732.9,14.71,16877.74873
AUTOMOBILE,NSE:SUNDRMFAST,425.25,617.3,644.4,#N/A,8858.463586
CONSTRUCTION,NSE:SUNTECK,445.9,465,533.35,32.57,6610.793817
AUTOMOBILE,NSE:SUPRAJIT,160.25,212.35,249,17.26,2231.3904
INDUSTRIAL MANUFACTURING,NSE:SUPREMEIND,1100.1,1150.5,1204.7,34.95,13974.21796
PHARMA,NSE:SUVEN,270.4,309.3,337.8,39.59,3448.779172
INDUSTRIAL MANUFACTURING,NSE:SUZLON,2.8,6.95,8.4,#N/A,1494.856745
TEXTILES,NSE:SWANENERGY,111.25,149.45,160.95,#N/A,2717.358013
CONSUMER GOODS,NSE:SYMPHONY,1230,1000.4,1589.1,81.29,8604.711
FINANCIAL SERVICES,NSE:SYNDIBANK,31.1,36.7,46.6,#N/A,8359.797043
PHARMA,NSE:SYNGENE,324,306.1,369,38.15,12784.43865
TEXTILES,NSE:TCNSBRANDS,651,650,870,31.03,3995.894637
CONSUMER GOODS,NSE:TTKPRESTIG,5701,5664.21,7733.33,41.08,7902.38414
MEDIA & ENTERTAINMENT,NSE:TVTODAY,297,431.3,451.45,12.47,1771.934967
MEDIA & ENTERTAINMENT,NSE:TV18BRDCST,20.95,41.25,42.9,18.12,3530.106554
AUTOMOBILE,NSE:TVSMOTOR,390.7,574.05,604.7,26.34,18469.09466
PHARMA,NSE:TAKE,128.8,196.95,203.65,11.17,1910.089535
PAPER,NSE:TNPL,194.5,299.2,323.4,9.17,1350.696345
CHEMICALS,NSE:TATACHEM,587.3,738.1,763,12.58,14970.85193
CONSUMER GOODS,NSE:TATACOFFEE,74.45,111.05,115.8,20.04,1390.505571
IT,NSE:TCS,2185,2046.25,2296.2,25.53,819202.1246
IT,NSE:TATAELXSI,638,1311.9,1378,14.81,3973.560265
CONSUMER GOODS,NSE:TATAGLOBAL,263.65,216,282,39.86,16674.51192
FINANCIAL SERVICES,NSE:TATAINVEST,763.05,777.25,933,31.17,3860.673542
AUTOMOBILE,NSE:TATAMTRDVR,55.55,142.75,149.75,#N/A,541.1787497
AUTOMOBILE,NSE:TATAMOTORS,121.8,267.3,282,#N/A,541.1787497
ENERGY,NSE:TATAPOWER,61.5,74.45,86.1,688.69,16366.02279
METALS,NSE:TATASTEEL,352,592.1,647.6,4.49,40107.9686
SERVICES,NSE:TEAMLEASE,2885.5,2514.7,3210,51.94,4924.244254
IT,NSE:TECHM,714,747.2,846.5,14.65,68779.9073
FINANCIAL SERVICES,NSE:NIACL,108.95,245.45,253.45,29.69,17954.9595
CEMENT & CEMENT PRODUCTS,NSE:RAMCOCEM,722.75,641.45,845,32.28,16994.39381
INDUSTRIAL MANUFACTURING,NSE:THERMAX,995.35,976.95,1198,33.08,11222.79614
SERVICES,NSE:THOMASCOOK,145.6,246.2,264.4,146.21,5371.004345
HEALTHCARE SERVICES,NSE:THYROCARE,467,654.6,684,27.89,2465.677808
INDUSTRIAL MANUFACTURING,NSE:TIMETECHNO,64.6,152.55,161.7,7.2,1460.907001
INDUSTRIAL MANUFACTURING,NSE:TIMKEN,690,651.2,758.7,30.78,5196.343974
CONSUMER GOODS,NSE:TITAN,1086.75,820.75,1340.9,67.05,96574.17518
PHARMA,NSE:TORNTPHARM,1712,1745.85,1962,59.24,28970.92624
ENERGY,NSE:TORNTPOWER,278.95,245.15,313,14.13,13406.80064
CONSUMER GOODS,NSE:TRENT,460,359.85,489.25,157.66,16286.72238
TEXTILES,NSE:TRIDENT,58.3,64.8,75.7,#N/A,2970.941726
INDUSTRIAL MANUFACTURING,NSE:TRITURBINE,96.6,120,125,28.24,3144.13375
